task_size,cpu_cycles,memory_required,deadline,priority,device_cpu,device_memory,battery,device_energy_coef,deadline_headroom,compute_density,server_cpu,server_memory,available_cpu,available_memory,server_energy_coef,bandwidth,latency,cost_delta
0.52271914,0.9535344,0.57492185,0.11361447,1.0,0.025190592,0.2335203,0.98402333,0.54280424,0.0,0.6557642,1.0,0.0,0.37467575,0.83128214,0.0,0.7621954,0.1944308,0.3738539
0.5422493,0.44127226,0.8755132,0.15589498,1.0,0.47854596,0.444034,0.17800936,0.7361555,0.14652757,0.21616942,1.0,0.0,0.0,0.61487293,0.0,0.7065153,0.17336805,0.037625086
0.5822631,0.69121176,0.941785,0.26691383,1.0,0.0,0.16526452,0.31616262,0.76447296,0.14341554,0.38020968,0.4005077,0.0,0.8481324,0.0,0.0,0.2465798,0.25931802,-0.10918638
0.6743051,0.38489258,0.82515,0.31706232,0.6666667,0.41977394,0.5352613,0.977918,1.0,0.30575863,0.10355991,0.0,0.0,0.42710018,0.07281828,0.0,0.30551445,0.12036216,-0.1798508
0.75987715,0.6057193,0.93139184,0.24360822,1.0,1.0,0.20022273,0.3261321,0.29962918,0.24138258,0.20421049,1.0,0.0,0.8035805,0.17175293,0.0,0.41431838,0.1715909,-0.18906072
0.4993165,0.73424476,0.67310774,0.3036719,1.0,0.9179097,0.28219083,0.0,0.9598609,0.2890864,0.50054944,1.0,0.0,0.13296652,0.72355413,0.0,0.0,0.18899092,0.038362257
0.52448124,0.7397157,0.7038981,0.08270198,0.6666667,0.025190592,0.2335203,0.98402333,0.54280424,0.0,0.4760447,0.0,0.0,0.42710018,0.07281828,0.0,0.97024107,0.10780896,0.3571492
0.43305886,0.5710099,0.64847136,0.3411945,1.0,0.0,0.16526452,0.31616262,0.76447296,0.2404992,0.43168378,0.4005077,0.0,0.8481324,0.0,0.0,0.2465798,0.25931802,-0.0951711
0.89944077,0.36882588,0.83937585,0.26008195,0.6666667,1.0,0.18036267,0.2753615,0.3049319,0.27172032,0.021456048,1.0,0.0,0.8035805,0.17175293,0.0,0.15933692,0.12357101,-0.25639206
0.45339924,0.9766025,0.9263874,0.12165715,0.6666667,0.0,0.16526452,0.31616262,0.76447296,0.0,0.78679264,0.4005077,0.0,0.8481324,0.0,0.0,0.2465798,0.25931802,0.3891063
0.87881863,0.5268386,0.76951504,0.28690988,0.6666667,1.0,0.9039866,0.9147824,0.0,0.28835776,0.11042309,1.0,0.0,0.63712716,0.3834095,0.0,0.7733272,0.122587085,-0.18797074
0.48407185,0.45008093,0.6155194,0.10522729,1.0,0.025190592,0.2335203,0.98402333,0.54280424,0.041737337,0.26761225,1.0,0.0,0.37467575,0.83128214,0.0,0.7621954,0.1944308,-0.104305446
0.6837914,0.7300361,0.75921226,0.12922846,1.0,0.75502664,0.0,0.55075,0.8745469,0.11181957,0.327901,1.0,0.0,0.37467575,0.83128214,0.0,0.19342747,0.17583255,-0.17078382
0.504111,0.6220087,0.9897305,0.032900877,0.6666667,0.025190592,0.2335203,0.98402333,0.54280424,0.0,0.39867628,0.0,0.0,0.42710018,0.07281828,0.0,0.97024107,0.10780896,0.34993088
0.42114288,0.62229055,0.62896526,0.0056337826,1.0,0.63757867,0.27701488,0.3480824,0.47541288,0.0,0.49744362,1.0,0.0,0.8035805,0.17175293,0.0,0.50050956,0.14179134,-0.12039788
0.37279338,0.97656876,0.6879003,0.017618373,1.0,0.47854596,0.444034,0.17800936,0.7361555,0.0,0.9576665,1.0,0.0,0.0,0.61487293,0.0,0.7065153,0.17336805,0.5451021
0.77984,0.826373,0.8970624,0.09753369,1.0,0.13482553,0.013435572,0.43737498,0.87996316,0.0,0.32461697,0.0,0.0,0.42710018,0.07281828,0.0,0.36757612,0.19050892,0.2971377
